OLD_CODE;NEW_CODE
c-p-ss1k77x;crosman_phantom_ss1k77x
c-r8-co1k77;crosman_optimus_r8_co1k77
c-ss1k77;crosman_ss1k77_phantom_1000
cros-tr77;crosman_tr77
np-r8-30020;crosman_vantage_np_r8_30020
g-soco-1000;gamo_socom_1000
g-s-1000-igt;gamo_socom_1000_igt
g-s-640-b;gamo_shadow_640_barricade
g-s-1000;gamo_shadow_1000_combo_pritsel_4kh32
g-cfr-w-igt;gamo_cfr_whisper_igt
g-cfr-w-r;gamo_cfr_whisper_royal
u-wal-lg-400;pnevmaticheskaya_vintovka_umarex_walther_lg_400_alutec
uma-per-31;pnevmaticheskaya_vintovka_umarex_perfecta_31
uma-per-32;pnevmaticheskaya_vintovka_umarex_perfecta_32
c-p-cs1k77kt;crosman_phantom_ss1k77kt
um-sa-177;pnevmaticheskiy_pistolet_umarex_sa_177
uma-xbg;pnevmaticheskiy_pistolet_umarex_xbg
um-mor;pnevmaticheskiy_pistolet_umarex_morph
um-bro-urx;pnevmaticheskiy_pistolet_umarex_browning_buck_mark_urx
um-ham-p26;pnevmaticheskiy_pistolet_umarex_hammerli_p26
gamo_p_23;pnevmaticheskiy_pistolet_gamo_p_23
gamo_p_23_comb;pnevmaticheskiy_pistolet_gamo_p_23_combat
gamo_pt_80_c_l;pnevmaticheskiy_pistolet_gamo_pt_80_combo_laser
gamo_pt_80;pnevmaticheskiy_pistolet_gamo_pt_80
gamo_px_107;pnevmaticheskiy_pistolet_gamo_px_107
gamo_p_800;pnevmaticheskiy_pistolet_gamo_p_800
gamo_p_25_bl;pnevmaticheskiy_pistolet_gamo_p_25_blowback
gamo_v3;pnevmaticheskiy_pistolet_gamo_v3
gamo_v3_nic;pnevmaticheskiy_pistolet_gamo_v3_nickel
cros_1377_c;pnevmaticheskiy_pistolet_crosman_1377c
cros_c11;pnevmaticheskiy_pistolet_crosman_c11
cros_c31;pnevmaticheskiy_pistolet_crosman_c31
cros_c41;pnevmaticheskiy_pistolet_crosman_c41
cros_t4cs;pnevmaticheskiy_pistolet_crosman_t4cs
cros-1088-bg;pnevmaticheskiy-pistolet-crosman-1088-bg
cros-pro-77cs-kit;pnevmaticheskiy-pistolet-crosman-pro77cs-ochki-shariki-2-ballonchika
cros_2300_s;pnevmaticheskiy_pistolet_crosman_2300s
cros_2300_t;pnevmaticheskiy_pistolet_crosman_2300t
alf-18-mw;alfamax_mod_18_mw
cros_3576_w;pnevmaticheskiy_pistolet_crosman_3576_w
dai_5501;pnevmaticheskiy_pistolet_daisy_5501
blow_h_01;pnevmaticheskiy_pistolet_blow_h_01
h-135-xrd;hatsan_135_xrd
anic_a_1001;pnevmaticheskiy_pistolet_anics_a_1001
anic_a_101mw_s;pnevmaticheskiy_pistolet_anics_a_101mw_sport
anic_a_3003lb;pnevmaticheskiy_pistolet_anics_a_3003lb_blackbird
glet_brt_84;pnevmaticheskiy_pistolet_gletcher_brt_84
glet_brt_92fs;pnevmaticheskiy_pistolet_gletcher_brt_92fs
